a,p,stabile
0.01,0,0
0.01,0.02,0
0.01,0.04,0
0.01,0.06,0
0.01,0.08,0
0.01,0.1,0
0.01,0.12,0
0.01,0.14,0
0.01,0.16,0
0.01,0.18,0
0.01,0.2,0
0.01,0.22,0
0.01,0.24,0
0.01,0.26,0
0.01,0.28,0
0.01,0.3,0
0.01,0.32,0
0.01,0.34,0
0.01,0.36,0
0.01,0.38,0
0.01,0.4,0
0.01,0.42,0
0.01,0.44,2
0.01,0.46,7
0.01,0.48,36
0.01,0.5,77
0.02,0,0
0.02,0.02,0
0.02,0.04,0
0.02,0.06,0
0.02,0.08,0
0.02,0.1,0
0.02,0.12,0
0.02,0.14,0
0.02,0.16,0
0.02,0.18,0
0.02,0.2,0
0.02,0.22,0
0.02,0.24,0
0.02,0.26,0
0.02,0.28,0
0.02,0.3,0
0.02,0.32,0
0.02,0.34,0
0.02,0.36,0
0.02,0.38,0
0.02,0.4,0
0.02,0.42,2
0.02,0.44,6
0.02,0.46,22
0.02,0.48,52
0.02,0.5,87
0.03,0,0
0.03,0.02,0
0.03,0.04,0
0.03,0.06,0
0.03,0.08,0
0.03,0.1,0
0.03,0.12,0
0.03,0.14,0
0.03,0.16,0
0.03,0.18,0
0.03,0.2,0
0.03,0.22,0
0.03,0.24,0
0.03,0.26,0
0.03,0.28,0
0.03,0.3,0
0.03,0.32,0
0.03,0.34,0
0.03,0.36,0
0.03,0.38,0
0.03,0.4,0
0.03,0.42,0
0.03,0.44,10
0.03,0.46,35
0.03,0.48,82
0.03,0.5,93
0.04,0,0
0.04,0.02,0
0.04,0.04,0
0.04,0.06,0
0.04,0.08,0
0.04,0.1,0
0.04,0.12,0
0.04,0.14,0
0.04,0.16,0
0.04,0.18,0
0.04,0.2,0
0.04,0.22,0
0.04,0.24,0
0.04,0.26,0
0.04,0.28,0
0.04,0.3,0
0.04,0.32,0
0.04,0.34,0
0.04,0.36,0
0.04,0.38,0
0.04,0.4,0
0.04,0.42,6
0.04,0.44,28
0.04,0.46,67
0.04,0.48,91
0.04,0.5,100
0.05,0,0
0.05,0.02,0
0.05,0.04,0
0.05,0.06,0
0.05,0.08,0
0.05,0.1,0
0.05,0.12,0
0.05,0.14,0
0.05,0.16,0
0.05,0.18,0
0.05,0.2,0
0.05,0.22,0
0.05,0.24,0
0.05,0.26,0
0.05,0.28,0
0.05,0.3,0
0.05,0.32,0
0.05,0.34,0
0.05,0.36,0
0.05,0.38,1
0.05,0.4,4
0.05,0.42,22
0.05,0.44,48
0.05,0.46,77
0.05,0.48,98
0.05,0.5,100
0.060000000000000005,0,0
0.060000000000000005,0.02,0
0.060000000000000005,0.04,0
0.060000000000000005,0.06,0
0.060000000000000005,0.08,0
0.060000000000000005,0.1,0
0.060000000000000005,0.12,0
0.060000000000000005,0.14,0
0.060000000000000005,0.16,0
0.060000000000000005,0.18,0
0.060000000000000005,0.2,0
0.060000000000000005,0.22,0
0.060000000000000005,0.24,0
0.060000000000000005,0.26,0
0.060000000000000005,0.28,0
0.060000000000000005,0.3,0
0.060000000000000005,0.32,0
0.060000000000000005,0.34,0
0.060000000000000005,0.36,1
0.060000000000000005,0.38,3
0.060000000000000005,0.4,14
0.060000000000000005,0.42,36
0.060000000000000005,0.44,72
0.060000000000000005,0.46,96
0.060000000000000005,0.48,99
0.060000000000000005,0.5,100
0.06999999999999999,0,0
0.06999999999999999,0.02,0
0.06999999999999999,0.04,0
0.06999999999999999,0.06,0
0.06999999999999999,0.08,0
0.06999999999999999,0.1,0
0.06999999999999999,0.12,0
0.06999999999999999,0.14,0
0.06999999999999999,0.16,0
0.06999999999999999,0.18,0
0.06999999999999999,0.2,0
0.06999999999999999,0.22,0
0.06999999999999999,0.24,0
0.06999999999999999,0.26,0
0.06999999999999999,0.28,0
0.06999999999999999,0.3,0
0.06999999999999999,0.32,0
0.06999999999999999,0.34,0
0.06999999999999999,0.36,2
0.06999999999999999,0.38,8
0.06999999999999999,0.4,37
0.06999999999999999,0.42,71
0.06999999999999999,0.44,91
0.06999999999999999,0.46,100
0.06999999999999999,0.48,100
0.06999999999999999,0.5,100
0.08,0,0
0.08,0.02,0
0.08,0.04,0
0.08,0.06,0
0.08,0.08,0
0.08,0.1,0
0.08,0.12,0
0.08,0.14,0
0.08,0.16,0
0.08,0.18,0
0.08,0.2,0
0.08,0.22,0
0.08,0.24,0
0.08,0.26,0
0.08,0.28,0
0.08,0.3,0
0.08,0.32,0
0.08,0.34,1
0.08,0.36,7
0.08,0.38,42
0.08,0.4,69
0.08,0.42,93
0.08,0.44,98
0.08,0.46,100
0.08,0.48,100
0.08,0.5,100
0.09,0,0
0.09,0.02,0
0.09,0.04,0
0.09,0.06,0
0.09,0.08,0
0.09,0.1,0
0.09,0.12,0
0.09,0.14,0
0.09,0.16,0
0.09,0.18,0
0.09,0.2,0
0.09,0.22,0
0.09,0.24,0
0.09,0.26,0
0.09,0.28,0
0.09,0.3,1
0.09,0.32,2
0.09,0.34,22
0.09,0.36,45
0.09,0.38,73
0.09,0.4,97
0.09,0.42,97
0.09,0.44,100
0.09,0.46,100
0.09,0.48,100
0.09,0.5,100
0.09999999999999999,0,0
0.09999999999999999,0.02,0
0.09999999999999999,0.04,0
0.09999999999999999,0.06,0
0.09999999999999999,0.08,0
0.09999999999999999,0.1,0
0.09999999999999999,0.12,0
0.09999999999999999,0.14,0
0.09999999999999999,0.16,0
0.09999999999999999,0.18,0
0.09999999999999999,0.2,0
0.09999999999999999,0.22,0
0.09999999999999999,0.24,0
0.09999999999999999,0.26,1
0.09999999999999999,0.28,3
0.09999999999999999,0.3,12
0.09999999999999999,0.32,26
0.09999999999999999,0.34,67
0.09999999999999999,0.36,91
0.09999999999999999,0.38,95
0.09999999999999999,0.4,100
0.09999999999999999,0.42,100
0.09999999999999999,0.44,100
0.09999999999999999,0.46,100
0.09999999999999999,0.48,100
0.09999999999999999,0.5,100
0.11,0,9
0.11,0.02,10
0.11,0.04,13
0.11,0.06,5
0.11,0.08,9
0.11,0.1,8
0.11,0.12,9
0.11,0.14,9
0.11,0.16,10
0.11,0.18,9
0.11,0.2,21
0.11,0.22,19
0.11,0.24,30
0.11,0.26,35
0.11,0.28,57
0.11,0.3,73
0.11,0.32,93
0.11,0.34,99
0.11,0.36,100
0.11,0.38,100
0.11,0.4,100
0.11,0.42,100
0.11,0.44,100
0.11,0.46,100
0.11,0.48,100
0.11,0.5,100
0.12,0,96
0.12,0.02,99
0.12,0.04,99
0.12,0.06,98
0.12,0.08,99
0.12,0.1,99
0.12,0.12,100
0.12,0.14,98
0.12,0.16,98
0.12,0.18,100
0.12,0.2,99
0.12,0.22,99
0.12,0.24,100
0.12,0.26,100
0.12,0.28,100
0.12,0.3,99
0.12,0.32,100
0.12,0.34,100
0.12,0.36,100
0.12,0.38,100
0.12,0.4,100
0.12,0.42,100
0.12,0.44,100
0.12,0.46,100
0.12,0.48,100
0.12,0.5,100
0.13,0,100
0.13,0.02,100
0.13,0.04,100
0.13,0.06,100
0.13,0.08,100
0.13,0.1,100
0.13,0.12,100
0.13,0.14,100
0.13,0.16,100
0.13,0.18,100
0.13,0.2,100
0.13,0.22,100
0.13,0.24,100
0.13,0.26,100
0.13,0.28,100
0.13,0.3,100
0.13,0.32,100
0.13,0.34,100
0.13,0.36,100
0.13,0.38,100
0.13,0.4,100
0.13,0.42,100
0.13,0.44,100
0.13,0.46,100
0.13,0.48,100
0.13,0.5,100
0.14,0,100
0.14,0.02,100
0.14,0.04,100
0.14,0.06,100
0.14,0.08,100
0.14,0.1,100
0.14,0.12,100
0.14,0.14,100
0.14,0.16,100
0.14,0.18,100
0.14,0.2,100
0.14,0.22,100
0.14,0.24,100
0.14,0.26,100
0.14,0.28,100
0.14,0.3,100
0.14,0.32,100
0.14,0.34,100
0.14,0.36,100
0.14,0.38,100
0.14,0.4,100
0.14,0.42,100
0.14,0.44,100
0.14,0.46,100
0.14,0.48,100
0.14,0.5,100
0.15000000000000002,0,100
0.15000000000000002,0.02,100
0.15000000000000002,0.04,100
0.15000000000000002,0.06,100
0.15000000000000002,0.08,100
0.15000000000000002,0.1,100
0.15000000000000002,0.12,100
0.15000000000000002,0.14,100
0.15000000000000002,0.16,100
0.15000000000000002,0.18,100
0.15000000000000002,0.2,100
0.15000000000000002,0.22,100
0.15000000000000002,0.24,100
0.15000000000000002,0.26,100
0.15000000000000002,0.28,100
0.15000000000000002,0.3,100
0.15000000000000002,0.32,100
0.15000000000000002,0.34,100
0.15000000000000002,0.36,100
0.15000000000000002,0.38,100
0.15000000000000002,0.4,100
0.15000000000000002,0.42,100
0.15000000000000002,0.44,100
0.15000000000000002,0.46,100
0.15000000000000002,0.48,100
0.15000000000000002,0.5,100
0.16,0,100
0.16,0.02,100
0.16,0.04,100
0.16,0.06,100
0.16,0.08,100
0.16,0.1,100
0.16,0.12,100
0.16,0.14,100
0.16,0.16,100
0.16,0.18,100
0.16,0.2,100
0.16,0.22,100
0.16,0.24,100
0.16,0.26,100
0.16,0.28,100
0.16,0.3,100
0.16,0.32,100
0.16,0.34,100
0.16,0.36,100
0.16,0.38,100
0.16,0.4,100
0.16,0.42,100
0.16,0.44,100
0.16,0.46,100
0.16,0.48,100
0.16,0.5,100
0.17,0,100
0.17,0.02,100
0.17,0.04,100
0.17,0.06,100
0.17,0.08,100
0.17,0.1,100
0.17,0.12,100
0.17,0.14,100
0.17,0.16,100
0.17,0.18,100
0.17,0.2,100
0.17,0.22,100
0.17,0.24,100
0.17,0.26,100
0.17,0.28,100
0.17,0.3,100
0.17,0.32,100
0.17,0.34,100
0.17,0.36,100
0.17,0.38,100
0.17,0.4,100
0.17,0.42,100
0.17,0.44,100
0.17,0.46,100
0.17,0.48,100
0.17,0.5,100
0.18000000000000002,0,100
0.18000000000000002,0.02,100
0.18000000000000002,0.04,100
0.18000000000000002,0.06,100
0.18000000000000002,0.08,100
0.18000000000000002,0.1,100
0.18000000000000002,0.12,100
0.18000000000000002,0.14,100
0.18000000000000002,0.16,100
0.18000000000000002,0.18,100
0.18000000000000002,0.2,100
0.18000000000000002,0.22,100
0.18000000000000002,0.24,100
0.18000000000000002,0.26,100
0.18000000000000002,0.28,100
0.18000000000000002,0.3,100
0.18000000000000002,0.32,100
0.18000000000000002,0.34,100
0.18000000000000002,0.36,100
0.18000000000000002,0.38,100
0.18000000000000002,0.4,100
0.18000000000000002,0.42,100
0.18000000000000002,0.44,100
0.18000000000000002,0.46,100
0.18000000000000002,0.48,100
0.18000000000000002,0.5,100
0.19,0,100
0.19,0.02,100
0.19,0.04,100
0.19,0.06,100
0.19,0.08,100
0.19,0.1,100
0.19,0.12,100
0.19,0.14,100
0.19,0.16,100
0.19,0.18,100
0.19,0.2,100
0.19,0.22,100
0.19,0.24,100
0.19,0.26,100
0.19,0.28,100
0.19,0.3,100
0.19,0.32,100
0.19,0.34,100
0.19,0.36,100
0.19,0.38,100
0.19,0.4,100
0.19,0.42,100
0.19,0.44,100
0.19,0.46,100
0.19,0.48,100
0.19,0.5,100
0.2,0,100
0.2,0.02,100
0.2,0.04,100
0.2,0.06,100
0.2,0.08,100
0.2,0.1,100
0.2,0.12,100
0.2,0.14,100
0.2,0.16,100
0.2,0.18,100
0.2,0.2,100
0.2,0.22,100
0.2,0.24,100
0.2,0.26,100
0.2,0.28,100
0.2,0.3,100
0.2,0.32,100
0.2,0.34,100
0.2,0.36,100
0.2,0.38,100
0.2,0.4,100
0.2,0.42,100
0.2,0.44,100
0.2,0.46,100
0.2,0.48,100
0.2,0.5,100
